Tank,Population,Temperature,Selection,Generation ,Week,Age,Weight
5,LTC3,L,C,5,5,83,0.296
5,LTC3,L,C,5,5,83,0.526
5,LTC3,L,C,5,5,83,0.8
5,LTC3,L,C,5,5,83,0.504
5,LTC3,L,C,5,5,83,0.741
5,LTC3,L,C,5,5,83,0.589
5,LTC3,L,C,5,5,83,0.536
5,LTC3,L,C,5,5,83,0.439
5,LTC3,L,C,5,5,83,0.596
5,LTC3,L,C,5,5,83,0.479
5,LTC3,L,C,5,5,83,0.467
5,LTC3,L,C,5,5,83,0.645
5,LTC3,L,C,5,5,83,0.246
5,LTC3,L,C,5,5,83,0.567
5,LTC3,L,C,5,5,83,0.433
5,LTC3,L,C,5,5,83,0.425
6,HTC6,H,C,5,5,83,0.412
6,HTC6,H,C,5,5,83,0.518
6,HTC6,H,C,5,5,83,0.669
6,HTC6,H,C,5,5,83,0.518
6,HTC6,H,C,5,5,83,0.474
6,HTC6,H,C,5,5,83,0.538
6,HTC6,H,C,5,5,83,0.743
6,HTC6,H,C,5,5,83,0.394
6,HTC6,H,C,5,5,83,0.509
6,HTC6,H,C,5,5,83,0.469
6,HTC6,H,C,5,5,83,0.331
6,HTC6,H,C,5,5,83,0.599
6,HTC6,H,C,5,5,83,0.514
6,HTC6,H,C,5,5,83,0.58
6,HTC6,H,C,5,5,83,0.667
6,HTC6,H,C,5,5,83,0.744
6,HTC6,H,C,5,5,83,0.627
6,HTC6,H,C,5,5,83,0.408
6,HTC6,H,C,5,5,83,0.442
6,HTC6,H,C,5,5,83,0.383
1,HTC4,H,C,5,9,111,0.723
1,HTC4,H,C,5,9,111,0.533
1,HTC4,H,C,5,9,111,0.583
1,HTC4,H,C,5,9,111,0.552
1,HTC4,H,C,5,9,111,0.445
1,HTC4,H,C,5,9,111,0.684
1,HTC4,H,C,5,9,111,0.543
1,HTC4,H,C,5,9,111,0.553
1,HTC4,H,C,5,9,111,1.069
1,HTC4,H,C,5,9,111,0.453
2,LTC1,L,C,5,9,111,0.862
2,LTC1,L,C,5,9,111,0.836
2,LTC1,L,C,5,9,111,0.796
2,LTC1,L,C,5,9,111,0.781
2,LTC1,L,C,5,9,111,0.792
2,LTC1,L,C,5,9,111,0.557
2,LTC1,L,C,5,9,111,0.714
2,LTC1,L,C,5,9,111,1.119
2,LTC1,L,C,5,9,111,1.505
2,LTC1,L,C,5,9,111,0.913
3,HTC5,H,C,5,9,111,1.027
3,HTC5,H,C,5,9,111,0.889
3,HTC5,H,C,5,9,111,0.72
3,HTC5,H,C,5,9,111,1
3,HTC5,H,C,5,9,111,0.695
3,HTC5,H,C,5,9,111,0.624
3,HTC5,H,C,5,9,111,1.231
3,HTC5,H,C,5,9,111,1.376
3,HTC5,H,C,5,9,111,0.995
3,HTC5,H,C,5,9,111,0.227
4,LTC2,L,C,5,9,111,0.856
4,LTC2,L,C,5,9,111,0.769
4,LTC2,L,C,5,9,111,0.627
4,LTC2,L,C,5,9,111,0.78
4,LTC2,L,C,5,9,111,0.766
4,LTC2,L,C,5,9,111,0.808
4,LTC2,L,C,5,9,111,1.41
4,LTC2,L,C,5,9,111,0.668
4,LTC2,L,C,5,9,111,1.609
4,LTC2,L,C,5,9,111,0.641
5,LTC3,L,C,5,9,111,0.748
5,LTC3,L,C,5,9,111,0.773
5,LTC3,L,C,5,9,111,0.794
5,LTC3,L,C,5,9,111,0.704
5,LTC3,L,C,5,9,111,1.032
5,LTC3,L,C,5,9,111,1.134
5,LTC3,L,C,5,9,111,0.732
5,LTC3,L,C,5,9,111,1.008
5,LTC3,L,C,5,9,111,0.747
5,LTC3,L,C,5,9,111,0.694
6,HTC6,H,C,5,9,111,0.755
6,HTC6,H,C,5,9,111,0.934
6,HTC6,H,C,5,9,111,0.934
6,HTC6,H,C,5,9,111,0.608
6,HTC6,H,C,5,9,111,0.767
6,HTC6,H,C,5,9,111,0.601
6,HTC6,H,C,5,9,111,0.601
